Textbox20
"MassDOT makes no representation as to the accuracy, adequacy, reliability, availability or completeness of the crash records or the data collected from them and is not responsible for any errors or omissions in such records or data. Under no circumstance will MassDOT have any liability for any loss or damage incurred by any party as a result of the use of the crash records or the data collected from them. Furthermore, the data contained in the web-based crash report tool are not an official record of what transpired in a particular crash or for a particular crash type. If a user is interested in an official copy of a crash report, contact the Registry (http://www.mass.gov/rmv/).

The City of Boston Police Department may be contacted directly for official copies of crash reports and for crash data pertaining to the City of Boston. In addition, any crash records or data provided for the years 2022 and later are subject to change at any time and are not to be considered up-to-date or complete. As such, open years’ of crash data are for informational purposes only and should not be used for analysis.
4995302,SOMERVILLE,11-Aug-2021,8:35 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Dark - lighted roadway,Clear,,Rte 93 S / RAMP-RT 28 TO RT 93 SB,,,,,234582.1173,904280.4411
5008160,SOMERVILLE,11-Aug-2021,9:49 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,,11 HIGHLAND AV,,,,,233506.82119113,903882.25296975
5008161,SOMERVILLE,11-Aug-2021,9:58 PM,Non-fatal injury,Possible Injury (C),2,2,0,Rear-end,V1: Slowing or stopped in traffic / V2: Travelling straight ahead,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Clear,,182 WASHINGTON ST,,,,,233731.87124164,903344.44707591
4998107,SOMERVILLE,12-Aug-2021,10:40 AM,Non-fatal injury,Possible Injury (C),3,1,0,"Sideswipe, same direction",V1: Overtaking/passing / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,INTERSTATE 93 Rte I93 N / RAMP-RT 93 NB TO RT 28 NB/MYSTIC AVE NB,,,,,234611.78681908,904284.27846954
4998484,SOMERVILLE,12-Aug-2021,6:15 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,INTERSTATE 93 Rte I93 N,,,VICINITY NEW EXIT 21,,,
5008162,SOMERVILLE,13-Aug-2021,5:58 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: E  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,BROADWAY / THURSTON ST,BROADWAY / THURSTON ST,,,,,233259.3126,904903.0623
5008132,SOMERVILLE,14-Aug-2021,10:12 AM,Non-fatal injury,Possible Injury (C),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear/Clear,,BUENA VISTA RD / MEACHAM RD,,,, VU4: Bicyclist,230916.5936,905227.7501
5008163,SOMERVILLE,16-Aug-2021,5:26 PM,Non-fatal injury,Suspected Minor Injury (B),2,2,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,CURTIS ST / POWDER HOUSE BLVD,CURTIS ST / POWDER HOUSE BLVD,,,,,230801.1719,906170.1875
5008164,SOMERVILLE,17-Aug-2021,7:30 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, opposite direction",V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Unknown heavy truck, cannot classify) / V2:(Unknown heavy truck, cannot classify)",Dry,Daylight,Clear,CEDAR STREET,CEDAR STREET,,,,,,
5008165,SOMERVILLE,17-Aug-2021,5:47 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear,,119 TEMPLE ST,,,, VU2: Pedestrian,233776.26177008,905074.70194163
5008166,SOMERVILLE,17-Aug-2021,10:43 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: E  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,CUTTER AV / SUMMER ST,CUTTER AV / SUMMER ST,,,,,231236.2654,904909.6251
5008167,SOMERVILLE,19-Aug-2021,2:11 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Parked,V1: E,V1:(Collision with tree),V1:(Single-unit truck (3-or-more axles)),Dry,Daylight,Cloudy,HIGHLAND AV / VINAL AV,HIGHLAND AV / VINAL AV,,,,,233263.3436,904009.8752
5008168,SOMERVILLE,20-Aug-2021,7:13 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V2: Parked / V1: Travelling straight ahead,V2: Not Reported / V1: E,V2:(Unknown) / V1:(Collision with parked motor vehicle),"V2:(Passenger car) / V1:(Bus (seats for 16 or more, including driver))",Wet,Daylight,Rain,,220 WASHINGTON ST,,,,,233560.49229464,903297.63400224
5008169,SOMERVILLE,20-Aug-2021,11:05 AM,Non-fatal injury,Possible Injury (C),3,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Travelling straight ahead,V1: E  / V2: E  / V3: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car) / V3:(Passenger car)",Dry,Daylight,Cloudy,BROADWAY / WALNUT ST,BROADWAY / WALNUT ST,,,,,233694.9841,904561.8127
5008170,SOMERVILLE,20-Aug-2021,1:56 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Wet,Daylight,Cloudy,,DARTMOUTH ST / MEDFORD ST,,,,,233129.20615834,904478.73774063
5008171,SOMERVILLE,20-Aug-2021,4:44 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Other,V1: Not Reported / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Other)",Dry,Daylight,Clear/Clear,COLLEGE AV / WINSLOW AV,COLLEGE AV / WINSLOW AV,,,,,231146.5937,905290.5623
5009162,SOMERVILLE,20-Aug-2021,7:57 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Dark - lighted roadway,Clear,,Rte 28 S / WASHINGTON STREET,,,,,233791.933,903346.2187
5007995,SOMERVILLE,21-Aug-2021,1:23 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Collision with pedestrian),V1:(Passenger car),Dry,Daylight,Clear,,MYSTIC VALLEY PARKWAY Rte SR16 E / AUBURN STREET,,,, VU2: Pedestrian,230629.43345331,907520.72919328
5008172,SOMERVILLE,21-Aug-2021,9:16 PM,Non-fatal injury,Suspected Minor Injury (B),1,2,0,Single vehicle crash,V1: Travelling straight ahead,V1: N,V1:(Other),V1:(Motorcycle),Dry,Dark - lighted roadway,Clear/Clear,,57 COLLEGE AV,,,,,231190.38485047,905382.56547359
5002436,SOMERVILLE,23-Aug-2021,8:50 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V2: Slowing or stopped in traffic / V1: Travelling straight ahead,V2: E  / V1: E,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic),"V2:(Passenger car) / V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,ALEWIFE BROOK PARKWAY Rte SR16 E / MYSTIC VALLEY-ALEWIFE BROOK ROTARY Rte SR16,,,,,230355.66955707,907169.63119829
5008173,SOMERVILLE,23-Aug-2021,10:52 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with bridge overhead structure),V1:(Tractor/semi-trailer),Dry,Daylight,Cloudy,,41 INNER BELT ROAD,,,MBTA COMMUTER RAIL OVERPASS,,234509.80729919,903212.72291121
5008411,SOMERVILLE,23-Aug-2021,11:55 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: W  / V2: U,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,HIGHLAND AVENUE / LOWELL STREET,HIGHLAND AVENUE / LOWELL STREET,,,,,232282.0469,904484.6251
5009094,SOMERVILLE,24-Aug-2021,6:15 PM,Non-fatal injury,Suspected Minor Injury (B),3,1,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead / V3: Travelling straight ahead,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Daylight,Clear,,Rte 28 S / MYSTIC AVENUE,,,,,234095.8653,904837.4002
5008174,SOMERVILLE,25-Aug-2021,8:49 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Single vehicle crash,V1: Travelling straight ahead / V2: Parked,V1: S  / V2: N,V1:(Collision with tree) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,10 BIGELOW ST,,,,,233470.61836898,903654.65045154
5008175,SOMERVILLE,25-Aug-2021,9:48 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: E  / V2: U,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle),"V1:(Single-unit truck (2-axle, 6-tires)) / V2:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,CENTRAL ST / HUDSON ST,CENTRAL ST / HUDSON ST,,,,,232703.0937,904379.3124
5008176,SOMERVILLE,27-Aug-2021,9:46 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V2: Parked / V1: Leaving traffic lane,V2: Not Reported / V1: E,V2:(Collision with motor vehicle in traffic) / V1:(Collision with parked motor vehicle),"V2:(Passenger car) / V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,25 SEWALL ST,,,,,233619.56203569,904800.54993667
5008177,SOMERVILLE,27-Aug-2021,8:19 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Parked / V2: Travelling straight ahead,V1: Not Reported / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,,401 MEDFORD ST,,,,,233035.15709108,904546.29225634
5008601,SOMERVILLE,27-Aug-2021,11:13 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Rear-end,V1: Travelling straight ahead,V1: S,V1:(Collision with motor vehicle in traffic),V1:(Passenger car),Dry,Dusk,Clear,,Rte 93 S,,Exit 20 on Rte 93 S,FELLSWAY OVERPASS,,234102.11855063,904858.87678264
5008178,SOMERVILLE,28-Aug-2021,12:26 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: S,V1:(Collision with curb),V1:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,BROADWAY / PACKARD AV,BROADWAY / PACKARD AV,,,,,230874.5779,905820.9999
5008179,SOMERVILLE,28-Aug-2021,11:15 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Parked / V2: Travelling straight ahead,V1: E  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear/Cloudy,,651 SOMERVILLE AV,,,,,231970.19236955,903855.18661173
5008602,SOMERVILLE,28-Aug-2021,12:25 PM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Entering traffic lane,V1: N,V1:(Collision with guardrail),V1:(Passenger car),Dry,Daylight,Clear,,Rte 16 W / POWDER HOUSE BOULEVARD,,,,,230378.0934,906492.875
5008180,SOMERVILLE,29-Aug-2021,12:51 AM,Non-fatal injury,Possible Injury (C),2,1,0,Single vehicle crash,V1: Travelling straight ahead / V2: Parked,V1: W  / V2: W,V1:(Collision with parked motor vehicle) / V2:(Collision with other movable object),V1:(Passenger car) / V2:(Passenger car),Wet,Dark - lighted roadway,Cloudy/Rain,,179 COLLEGE AV,,,,,231524.71998329,905919.57528803
5008605,SOMERVILLE,29-Aug-2021,11:10 AM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: N  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 28 N / GRAND UNION BOULEVARD,,,,,234224.8283,905308.7501
5008181,SOMERVILLE,29-Aug-2021,11:58 PM,Unknown,Unknown,1,0,0,Single vehicle crash,V1: Unknown,V1: N,V1:(Collision with curb),V1:(Passenger car),Dry,Dark - lighted roadway,Clear/Unknown,CROSS ST / TUFTS ST,CROSS ST / TUFTS ST,,,,,233782.0938,903726.625
5003014,SOMERVILLE,30-Aug-2021,2:23 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V2: Slowing or stopped in traffic / V1: Travelling straight ahead,V2: N  / V1: N,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic),"V2:(Passenger car) / V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,Rte 38 N / TEMPLE STREET,,,,,233831.6093,905091.3123
5003015,SOMERVILLE,30-Aug-2021,3:18 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,"Sideswipe, same direction",V1: Changing lanes / V2: Travelling straight ahead,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,MCGRATH HIGHWAY Rte SR28 N / BLAKELEY AVENUE,,,STOP & SHOP ENTRANCE,,234017.0935,904574.875
5008182,SOMERVILLE,30-Aug-2021,3:56 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Travelling straight ahead,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,,789 BROADWAY,,,, VU2: Bicyclist,231607.02652227,905687.59165734
5008183,SOMERVILLE,30-Aug-2021,5:22 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Backing,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Tractor/semi-trailer),Dry,Daylight,Clear/Clear,CHESTER ST / COTTAGE AV,CHESTER ST / COTTAGE AV,,,,,231039.6093,904965.0624
5008184,SOMERVILLE,30-Aug-2021,8:19 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Entering traffic lane / V2: Travelling straight ahead,V1: E  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Other) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear,,ELM ST / DAY ST,,,,,231096.5439457,905134.05014772
5003191,SOMERVILLE,31-Aug-2021,4:45 AM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V2: Travelling straight ahead / V1: Changing lanes,V2: S  / V1: S,V2:(Collision with motor vehicle in traffic) / V1:(Collision with motor vehicle in traffic),"V2:(Light truck(van, mini-van, pickup, sport utility)) / V1:(Single-unit truck (2-axle, 6-tires))",Dry,Dark - lighted roadway,Cloudy,,INTERSTATE 93 Rte I93 S,INTERSTATE 93 Rte I93 S Milemarker 19.3,,,,234903.50315488,903249.33356474
5008185,SOMERVILLE,31-Aug-2021,5:57 PM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,"Sideswipe, same direction",V1: Turning right,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,BOWERS AVE / ELM ST,BOWERS AVE / ELM ST,,,, VU2: Bicyclist,231169.7034,904982.9373
5020816,SOMERVILLE,01-Sep-2021,12:16 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Travelling straight ahead,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Wet,Daylight,Rain,,SOMERVILLE AVENUE / LAUREL STREET,,,,,232402.22344418,903710.76536508
5011863,SOMERVILLE,01-Sep-2021,1:20 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: N  / V2: N  / V3: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Passenger car) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,Rte 28 N,Rte 28 N,,,,,,
5011114,SOMERVILLE,01-Sep-2021,7:20 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dusk,Clear,,Rte 93 N,,Exit 29 on Rte 93 N,,,234354.5971,904549.615
5003737,SOMERVILLE,02-Sep-2021,4:42 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,,Rte 93 N / RAMP-MYSTIC AVE NB TO RT 93 NB,,,,,233893.4791,905099.7013
5020817,SOMERVILLE,02-Sep-2021,5:55 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Turning right,V1: W  / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,WASHINGTON STREET / TUFTS STREET,WASHINGTON STREET / TUFTS STREET,,,,,233965.3283,903468.9375
5020820,SOMERVILLE,03-Sep-2021,10:35 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Rear-end,V1: Backing,V1: S,"V1:(Collision with other fixed object (wall, building, tunnel, etc.))","V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Cloudy,,APPLETON ST / LIBERTY RD,,,,,231501.6591,905248.6751
5020900,SOMERVILLE,03-Sep-2021,1:57 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Travelling straight ahead / V2: Parked,V1: N  / V2: Not Reported,V1:(Collision with parked motor vehicle) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Daylight,Clear,,197 CEDAR ST,,,,,232082.56364558,905023.07601971
5012649,SOMERVILLE,06-Sep-2021,6:45 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,"Sideswipe, same direction",V1: Slowing or stopped in traffic / V2: Slowing or stopped in traffic,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,,Rte 28 / MYSTIC AVENUE,,,,,234095.8653,904837.4002
5020956,SOMERVILLE,06-Sep-2021,8:40 PM,Non-fatal injury,Possible Injury (C),2,1,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: S  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Dry,Dusk,Clear,,Rte 16 W / BROADWAY,,,,,230165.3435,906330.5
5020827,SOMERVILLE,07-Sep-2021,7:37 AM,Non-fatal injury,Suspected Minor Injury (B),1,1,0,Single vehicle crash,V1: Travelling straight ahead,V1: E,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Clear,WASHINGTON ST / WEBSTER AV,WASHINGTON ST / WEBSTER AV,,,, VU2: Bicyclist,233239.0154,903315.2499
5020806,SOMERVILLE,07-Sep-2021,10:23 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Head-on,V1: Parked / V2: Travelling straight ahead,V1: Not Reported / V2: W,V1:(Collision with motor vehicle in traffic) / V2:(Collision with parked motor vehicle),V1:(Passenger car) / V2:(Passenger car),Dry,Dark - lighted roadway,Clear/Clear,CENTRAL ST / GIBBENS ST,CENTRAL ST / GIBBENS ST,,,,,232620.2106,904223.3736
5020810,SOMERVILLE,08-Sep-2021,11:01 AM,Property damage only (none injured),No Apparent Injury (O),1,0,0,Single vehicle crash,V1: Travelling straight ahead,V1: W,V1:(Other),"V1:(Single-unit truck (2-axle, 6-tires))",Dry,Daylight,Clear,,BROADWAY / WILLIAM ST,,,,,232388.23197284,905358.07998036
5008004,SOMERVILLE,08-Sep-2021,3:05 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Angle,V1: Changing lanes / V2: Travelling straight ahead,V1: S  / V2: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Motorcycle),Dry,Daylight,Clear,,Rte 28 S / MYSTIC AVENUE,,,,,234095.8653,904837.4002
5030391,SOMERVILLE,08-Sep-2021,4:50 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Travelling straight ahead / V2: Turning left,V1: S  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),"V1:(Light truck(van, mini-van, pickup, sport utility)) / V2:(Passenger car)",Dry,Daylight,Clear,MIDDLESEX AVENUE / CUMMINGS STREET,MIDDLESEX AVENUE / CUMMINGS STREET,,,,,234286.659,904972.8939
5010488,SOMERVILLE,08-Sep-2021,10:30 PM,Non-fatal injury,Suspected Serious Injury (A),1,1,0,Angle,V1: Turning right,V1: S,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))","V1:(Light truck(van, mini-van, pickup, sport utility))",Dry,Dark - lighted roadway,Clear,MCGRATH HIGHWAY / PROSPECT HILL AVENUE,MCGRATH HIGHWAY / PROSPECT HILL AVENUE,,,, VU2: Bicyclist,233714.1898,903577.9935
5020811,SOMERVILLE,09-Sep-2021,2:28 PM,Property damage only (none injured),No Apparent Injury (O),2,0,0,Angle,V1: Turning left / V2: Travelling straight ahead,V1: N  / V2: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Rain,HIGHLAND AV / PRESCOTT ST,HIGHLAND AV / PRESCOTT ST,,,,,233116.953,904080.7498
5020812,SOMERVILLE,09-Sep-2021,5:56 PM,Non-fatal injury,Suspected Minor Injury (B),2,1,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic,V1: N  / V2: N,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car),Wet,Daylight,Rain/Rain,PROSPECT ST / WEBSTER AV,PROSPECT ST / WEBSTER AV,,,,,233306.0935,903019.6877
5021602,SOMERVILLE,09-Sep-2021,6:30 PM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: E  / V2: E  / V3: E,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),V1:(Passenger car) / V2:(Passenger car) / V3:(Passenger car),Dry,Dusk,Cloudy,,MYSTIC AVENUE Rte 38 / TEMPLE STREET,,,,,233831.6093,905091.3123
5015039,SOMERVILLE,10-Sep-2021,9:00 AM,Property damage only (none injured),No Apparent Injury (O),3,0,0,Rear-end,V1: Travelling straight ahead / V2: Slowing or stopped in traffic / V3: Slowing or stopped in traffic,V1: S  / V2: S  / V3: S,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic),"V1:(Passenger car) / V2:(Light truck(van, mini-van, pickup, sport utility)) / V3:(Light truck(van, mini-van, pickup, sport utility))",Dry,Daylight,Cloudy,,Rte 93 S,,,[NORTH from NEW EXIT NUMBER 18],,,
5020898,SOMERVILLE,10-Sep-2021,10:18 AM,Non-fatal injury,Possible Injury (C),1,1,0,"Sideswipe, same direction",V1: Parked,V1: W,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",V1:(Passenger car),Dry,Daylight,Clear,,258 HIGHLAND AV,,,, VU2: Bicyclist,232074.32496668,904609.29026904
